,funding_carry,stat_arb,btc
2026-04-19 00:00:00+00:00,-0.0002242931975435,0.0,-0.025267498688220646
2026-04-20 00:00:00+00:00,1.604641131769391e-05,0.0,0.027656910827688952
2026-04-21 00:00:00+00:00,8.404640907633265e-05,0.0,0.006376074509331531
2026-04-22 00:00:00+00:00,-6.4221667561703555e-06,0.0,0.02436116035163982
2026-04-23 00:00:00+00:00,-2.982255336647643e-05,0.0,0.0009308448747016307
2026-04-24 00:00:00+00:00,-7.14470838386605e-05,0.0,-0.010468908802253263
2026-04-25 00:00:00+00:00,7.465561606356808e-05,0.0,0.0024388795509528993
2026-04-26 00:00:00+00:00,0.0001071260904621,0.0,0.013175795407949886
2026-04-27 00:00:00+00:00,0.000114680776037,0.0,-0.016643526824612453
2026-04-28 00:00:00+00:00,-0.0003182708449913,0.0,-0.013525985200948831
2026-04-29 00:00:00+00:00,9.871989414111936e-05,0.0,-0.007404676145165823
2026-04-30 00:00:00+00:00,4.280438958970123e-05,0.0,0.0072987324046291935
2026-05-01 00:00:00+00:00,-0.0001807226477696,0.0,0.02527030062467106
2026-05-02 00:00:00+00:00,-4.249126887290178e-05,0.0,0.00572973021337897
2026-05-03 00:00:00+00:00,0.0001268912070504,0.0,-0.001568586382377446
2026-05-04 00:00:00+00:00,9.332935749872816e-05,0.0,0.01646510025790837
2026-05-05 00:00:00+00:00,0.0001349878820973,0.0,0.013216263963111041
2026-05-06 00:00:00+00:00,2.1903033941450545e-05,0.0,0.006555369499968711
2026-05-07 00:00:00+00:00,0.0001339342251496,0.0,-0.01759274835734137
2026-05-08 00:00:00+00:00,1.5526442333824164e-05,0.0,0.002292845806119548
2026-05-09 00:00:00+00:00,0.0001391180551613,0.0,0.005825500362768743
2026-05-10 00:00:00+00:00,8.75505646209529e-05,0.0,0.019143408621012048
2026-05-11 00:00:00+00:00,0.0002870900717311,0.0,-0.005753407025962054
2026-05-12 00:00:00+00:00,6.446049701391843e-05,0.0,-0.015201085173013662
2026-05-13 00:00:00+00:00,0.0001506336539576,0.0,-0.014865678851836761
2026-05-14 00:00:00+00:00,2.9971933975581067e-05,0.0,0.02259010350334334
2026-05-15 00:00:00+00:00,0.0001578576296821,0.0,-0.02492470651296219
2026-05-16 00:00:00+00:00,0.0001401493656798,0.0,-0.012055122212649816
2026-05-17 00:00:00+00:00,0.0001397890593308,0.0,-0.008934843855326391
2026-05-18 00:00:00+00:00,-0.0001585379698588,0.0,-0.005989205968045308
2026-05-19 00:00:00+00:00,0.0002936723756468,0.0,-0.002293876661955907
2026-05-20 00:00:00+00:00,0.0001916228051601,0.0,0.009229298656149743
2026-05-21 00:00:00+00:00,2.6251300996982252e-05,0.0,0.000924544494365076
2026-05-22 00:00:00+00:00,0.0005130145248055,0.0,-0.027127976332477877
2026-05-23 00:00:00+00:00,-7.010858499467698e-05,0.0,0.015986578638355287
2026-05-24 00:00:00+00:00,8.937617278426124e-05,0.0,0.004252968036529747
2026-05-25 00:00:00+00:00,0.0001153870264147,0.0,0.0035475997125857806
2026-05-26 00:00:00+00:00,7.819878768722255e-05,0.0,-0.018420545386501064
2026-05-27 00:00:00+00:00,9.162910411997238e-05,0.0,-0.01991556996865207
2026-05-28 00:00:00+00:00,0.0002280803265157,0.0,-0.010810864635035444
2026-05-29 00:00:00+00:00,0.0002779905707277,0.0,-0.001983198517368945
2026-05-30 00:00:00+00:00,0.0001311316972403,0.0,0.005505489746924885
2026-05-31 00:00:00+00:00,-3.270495676277463e-05,0.0,-0.002650375101547864
2026-06-01 00:00:00+00:00,0.0001476980428405,0.0,-0.030727078170529554
2026-06-02 00:00:00+00:00,0.0004172575277701,0.0,-0.06528932016834732
2026-06-03 00:00:00+00:00,3.5838430043622083e-06,0.0,-0.03928015019873743
2026-06-04 00:00:00+00:00,0.0002626474434863,0.0,-0.003653653966271153
2026-06-05 00:00:00+00:00,0.0001204465211328,0.0,-0.043475835038762733
2026-06-06 00:00:00+00:00,-0.0001026492758329,-0.0328976847238648,-0.0029741774806658627
2026-06-07 00:00:00+00:00,-0.0002152691256063,0.0049301376125732,0.04029959993742027
2026-06-08 00:00:00+00:00,-7.220267738938801e-05,0.0024066243398796,-0.0037873564062719245
2026-06-09 00:00:00+00:00,-8.499694442720696e-07,0.0005149517436635,-0.02183816876398803
2026-06-10 00:00:00+00:00,-2.8882394698559463e-05,-0.0065313594864582,-0.003831351785986481
2026-06-11 00:00:00+00:00,-0.0002233812417492,0.002827370498367,0.03440160418008564
2026-06-12 00:00:00+00:00,-9.342417564739414e-05,0.0025113201291148,-0.0003931506517427241
2026-06-13 00:00:00+00:00,5.237444880368258e-05,0.0,0.014031822945578032
2026-06-14 00:00:00+00:00,-4.976613263052432e-05,0.0,0.01981422005497757
2026-06-15 00:00:00+00:00,-0.0001151031472691,0.0,0.008677664442334754
2026-06-16 00:00:00+00:00,7.482584592133357e-05,0.0,-0.009960649880501271
2026-06-17 00:00:00+00:00,8.953280566714739e-06,0.0,-0.017839986930144547
2026-06-18 00:00:00+00:00,0.0001248927984782,0.0,-0.02431538074333195
2026-06-19 00:00:00+00:00,-7.593216139001324e-05,0.0,0.009481542409780275
2026-06-20 00:00:00+00:00,0.0001720467289259,0.0,0.011780821486186754
2026-06-21 00:00:00+00:00,-3.158303712591515e-05,0.0,-0.015373933851413613
2026-06-22 00:00:00+00:00,-6.458907881867759e-07,0.0,0.01130660040866216
